25.46 E48 -4.55 25.34 0.0024 129.8 8.1 195.4 1.0227 1.0128 0.9645 0.0015 0.0015 0.0015 19.9 4.2 3.5 1.010 1.050 1.060 1.065 0.669 0.661 0.185 1.040 347 257 151 5 2 84 1.0218 1.0132 0.9650 -0.0019 -0.0025 0.0051 07/19/96
25.60 E49 -4.55 36.24 0.0020 147.8 1.9 253.2 1.0177 1.0138 0.9685 0.0013 0.0013 0.0013 36.8 3.7 3.4 1.004 1.047 1.051 1.057 0.844 0.840 0.083 1.043 99 189 326 2 2 88 1.0138 1.0176 0.9686 -0.0006 0.0011 -0.0015 07/19/96
26.12 E52 -4.55 66.71 0.0064 32.6 11.2 31.2 1.0374 1.0068 0.9559 0.0041 0.0041 0.0041 17.1 10.5 6.6 1.030 1.053 1.085 1.086 0.268 0.249 0.462 1.002 227 136 17 13 7 75 1.0170 1.0221 0.9609 0.0135 -0.0088 -0.0168 07/19/96
26.28 F1 -4.55 22.21 0.0028 117.0 6.0 180.6 1.0244 1.0146 0.9610 0.0018 0.0018 0.0018 22.9 4.4 3.7 1.010 1.056 1.066 1.071 0.701 0.692 0.167 1.046 131 221 31 1 5 85 1.0185 1.0201 0.9614 -0.0050 -0.0025 -0.0044 07/19/96
26.44 F2 -4.55 28.11 0.0033 307.6 80.3 332.9 1.0564 1.0145 0.9291 0.0021 0.0021 0.0021 6.6 3.2 2.2 1.041 1.092 1.137 1.140 0.369 0.341 0.394 1.049 22 132 312 0 32 58 1.0271 1.0199 0.9530 0.0327 0.0285 -0.0257 07/19/96
26.75 F32 -4.41 32.26 0.0008 1620.0 648.8 1426.6 1.0326 1.0045 0.9629 0.0005 0.0005 0.0005 2.3 1.6 0.9 1.028 1.043 1.072 1.073 0.211 0.194 0.504 1.015 16 286 157 3 2 86 1.0303 1.0066 0.9632 0.0074 -0.0007 0.0040 07/12/96
27.20 F5 -4.41 26.68 0.0007 1328.8 33.0 2189.7 1.0198 1.0139 0.9663 0.0005 0.0005 0.0005 10.2 1.3 1.1 1.006 1.049 1.055 1.061 0.787 0.781 0.116 1.043 350 260 100 1 3 87 1.0196 1.0140 0.9664 -0.0009 -0.0025 0.0005 07/12/96
27.34 F6 -4.49 30.22 0.0016 993.4 18.0 1671.0 1.0380 1.0282 0.9339 0.0010 0.0010 0.0010 13.7 1.4 1.3 1.010 1.101 1.111 1.124 0.821 0.812 0.099 1.091 5 95 262 1 2 88 1.0379 1.0281 0.9340 0.0009 0.0036 0.0006 07/12/96
78.15 C30 -4.46 700.80 0.0025 561.6 55.8 787.6 1.0505 1.0242 0.9253 0.0016 0.0016 0.0016 7.9 2.1 1.7 1.026 1.107 1.135 1.144 0.600 0.580 0.235 1.079 116 26 228 3 8 82 1.0284 1.0441 0.9275 -0.0115 0.0120 0.0088 07/15/96
78.62 C31 -4.46 297.60 0.0017 1492.7 10.3 2624.3 1.0458 1.0382 0.9160 0.0011 0.0011 0.0011 17.8 1.2 1.1 1.007 1.133 1.142 1.161 0.889 0.882 0.061 1.125 261 168 59 21 7 68 1.0338 1.0317 0.9345 -0.0066 -0.0394 -0.0222 07/15/96
